step,track_id,confirmed,x,y,vx,vy,misses,maha2,hits_window
1,1,0,-81.223914297598128,6.0535587831701809,0,0,0,0,2
2,1,0,-82.970080534755539,1.559632595150811,-10.74565436534836,-27.654971521185423,0,3.025906068505785,2
2,2,0,82.035728623517954,-2.9397592646929676,0,0,0,0,2
3,1,0,-80.788662420946395,0.67896376796377811,11.753996461596328,-23.499818109812466,0,1.1330286215973022,2
3,2,0,82.035728623517954,-2.9397592646929676,0,0,1,0,1
4,1,1,-77.584839132009378,-2.5329338552282947,31.073138487923174,-38.541650304364353,0,1.7103172426924871,3
4,2,0,76.550169683385761,-2.330135353969748,-35.107651271787581,3.9016012585398254,0,1.6571841546914554,1
5,1,1,-77.502902316237112,-2.5420736978682914,21.946130010364122,-26.647351293622812,0,1.1090307578126333,4
5,2,0,79.883925228951114,-0.55256983165624596,-1.8723204819690551,14.236244686309584,0,3.7093170435306364,2
6,1,1,-77.01438444624354,-1.7107338515843127,18.755932710030784,-15.309009552214643,0,1.2431140491436241,5
6,2,1,76.214746198466301,1.0380016463644364,-23.402752626884975,19.527737588132069,0,2.5441262565687683,3
7,1,1,-78.800188313746148,-1.0046537871599965,6.4885204211819847,-8.6810654631803956,0,3.0726505808054858,5
7,2,1,73.523192497821157,-0.22296289449991535,-31.517071063269771,7.5950505050263342,0,1.793036509436698,4
8,1,1,-76.363406727567536,1.0416920747920293,14.80458629918488,1.0839395160631664,0,4.3688122389491069,5
8,2,1,73.257365047884065,-0.3757826250844728,-25.374702583271365,5.0979590123367284,0,0.62421428740272444,5
9,1,1,-76.800115229758291,1.7916919702614269,10.695775503674863,3.5130589701350963,0,0.96832194142990602,5
9,2,1,73.516590264982355,0.61354871470024719,-19.04695105079184,8.1394725013358276,0,1.1278368301647463,5
10,1,1,-75.545088170082934,0.31499014226876643,12.952587729800673,-1.6644698308136543,0,2.0772179741734043,5
10,2,1,72.564242712442763,1.0205223397670387,-19.04695105079184,8.1394725013358276,1,0,4
11,1,1,-77.068937773640826,0.77314542382240803,6.7836418590864209,-0.12646906632139898,0,3.8828538704631361,5
